許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
派13-302403,株式会社オープンループパートナーズ,株式会社オープンループパートナーズ　 北見支店,北海道北見市常盤町４‐１６‐３　トキワビレッジ２階Ｆ号室,0157-31-2400,49人,40件,
派13-302403,株式会社オープンループパートナーズ,株式会社オープンループパートナーズ　道東支店,北海道釧路市住之江町４番２０号　タカオビル２Ｆ右側４番１号室,0154-25-9260,44人,30件,
派13-302403,株式会社オープンループパートナーズ,株式会社オープンループパートナーズ　新札幌支店（カテプリおしごと窓口）,北海道札幌市厚別区厚別中央２条５丁目７番地１号　イオンカテプリ新さっぽろ２階２０８ｂ  ,011-890-8630,59人,56件,
派13-302403,株式会社オープンループパートナーズ,株式会社オープンループパートナーズ　函館支店,北海道函館市梁川町５－８　プライム函館ＷＥＳＴ８０３号室,050-1751-2847,4人,,
派13-302662,エヌ・ティ・ティ・データ・カスタマサービス株式会社,エヌ・ティ・ティ・データ・カスタマサービス株式会社　北海道支社,北海道札幌市中央区南１４条西１３丁目３番３３号　ＮＴＴ札幌南ビル２階,011-520-9513,,,
派13-302899,ＤＳＰ株式会社,ＤＳＰ株式会社　札幌支店,北海道札幌市中央区大通西５丁目８番地　昭和ビル４階,011-206-0924,,,
派13-303102,日本郵政コーポレートサービス株式会社,日本郵政コーポレートサービス株式会社　札幌支社,北海道札幌市中央区北二条西４丁目３番　日本郵政グループ札幌ビル４階,011-223-5813,,,
派13-303127,アクサス株式会社,アクサス株式会社　札幌支店,北海道札幌市中央区北３条西３丁目１番地４　札幌北三条ビル６階　６０４号室,011-200-7195,,,
派13-303267,ピックル株式会社,ピックル株式会社　札幌支店,北海道札幌市中央区南１条西２丁目５番地　南一条Ｋビル４階,011-596-8551,,,
派13-303269,株式会社グラスト,株式会社グラスト　札幌オフィス,北海道札幌市中央区北五条西２丁目５番地　ＪＲタワーオフィスプラザさっぽろ２０Ｆ,011-232-7080,,,
派13-303269,株式会社グラスト,株式会社グラスト　札幌大通オフィス,北海道札幌市中央区大通西３丁目１１番地　北洋ビル２階,011-223-2005,,,
派13-303310,株式会社マーキュリー,株式会社マーキュリー　北海道支店,北海道札幌市中央区北一条西１－６　さっぽろ創世スクエア２１階２１１０号室,011-804-3953,,,
派13-303310,株式会社マーキュリー,株式会社マーキュリー　北北海道営業所,北海道旭川市一条通８－５４２－４　一条緑橋通ビル　６階１６号室,0166-74-5232,,,
派13-303319,株式会社ＰＥ‐ＢＡＮＫ,株式会社ＰＥ‐ＢＡＮＫ　北海道支店,北海道札幌市中央区北一条西９丁目３番１０号　松崎大通ビル４階,011-209-1110,,,
派13-303396,アイング株式会社,アイング株式会社　札幌オフィス,北海道札幌市中央区北２条東４丁目１‐２　サッポロファクトリー３条館４Ｆ,011-205-6822,,,
派13-303763,株式会社損害保険リサーチ,株式会社損害保険リサーチ　札幌支社,北海道札幌市中央区北３条西２丁目１０番地２　北酒販・住生札幌ビル１０階,011-281-1555,,,
派13-303822,二幸産業株式会社,二幸産業株式会社　北海道支社,北海道札幌市中央区北１条東二丁目５番地２号　３階,011-241-2580,,,
派13-303896,東京綜合管理株式会社,東京綜合管理株式会社　札幌支社,北海道札幌市中央区南１条西２５丁目２番２５号　ＣＬＥＯ円山１階,011-612-7927,,,
派13-303960,株式会社リージェンシー,株式会社リージェンシー　札幌支店,北海道札幌市中央区北２条西３丁目１番地２９　タケサトビル７Ｆ７０２号室,011-280-7355,,,
派13-304006,株式会社ウィルエージェンシー,株式会社ウィルエージェンシー　札幌支店  ,北海道札幌市中央区大通西４‐６‐１　札幌大通西４ビル３階,011-233-5881,79人,100件,
派13-304089,株式会社Ｔｒｕｓｔ　Ｇｒｏｗｔｈ,株式会社Ｔｒｕｓｔ　Ｇｒｏｗｔｈ　北海道支社,北海道札幌市中央区南二条西７‐５‐６　第３サントービル４階,011-596-7144,,,
派13-304191,株式会社テクノプロ・コンストラクション,株式会社テクノプロ・コンストラクション　北海道支店,北海道札幌市中央区北二条西２丁目１番地５　リージェントビル９Ｆ,011-207-1351,,,
派13-304279,株式会社ビーネックスパートナーズ,株式会社ビーネックスパートナーズ　北海道支店,北海道恵庭市相生町１丁目８番１号　いざりえ恵庭ビル３階,0123-34-6066,,,
派13-304283,株式会社ヒューマン・ライジン,株式会社ヒューマン・ライジン　札幌支店,北海道札幌市中央区北３条西３丁目１ー５４　札幌北三条ビル６Ｆ,011-218-1370,,,
派13-304314,株式会社サウンズグッド,株式会社サウンズグッド　札幌支店,北海道札幌市中央区北５条西５－２－１２　住友生命札幌ビル８階,011-281-5561,,,
派13-304314,株式会社サウンズグッド,株式会社サウンズグッド　札幌第二支店,北海道札幌市中央区北５条西５－２－１２　住友生命札幌ビル８階,011-223-7530,,,
派13-304437,株式会社キャリア,株式会社キャリア　札幌支店   ,北海道札幌市中央区北５条西２丁目５　ＪＲタワーオフィスプラザさっぽろ１４Ｆ,011-200-5838,,,
派13-304556,グリーン・コンサルタント株式会社,グリーン・コンサルタント株式会社　北海道営業所,北海道恵庭市戸磯７６‐２１,0123-32-3085,3人,11件,施工管理、材料試験、路面測量
派13-304593,株式会社ワット・コンサルティング,株式会社ワット・コンサルティング　札幌営業所,北海道札幌市中央区北１条西５丁目２‐９　北一条三井ビル８Ｆ８０３号室,011-221-7101,,,
派13-304642,株式会社エスプールヒューマンソリューションズ,株式会社エスプールヒューマンソリューションズ　北海道支店,北海道札幌市中央区南一条西三丁目１‐１　丸一ビルヂング６階,011-806-0052,,,
派13-304642,株式会社エスプールヒューマンソリューションズ,株式会社エスプールヒューマンソリューションズ　札幌南口支店,北海道札幌市中央区北二条西３丁目１番地１２　敷島ビル９階９０１区画,011-804-5570,,,
派13-304674,株式会社パソナ,株式会社パソナ　パソナ・札幌,北海道札幌市中央区北５条西２‐５　ＪＲタワーオフィスプラザさっぽろ１６Ｆ,050-3684-0027,,,
派13-304719,株式会社シグマスタッフ,株式会社シグマスタッフ　札幌支店,北海道札幌市中央区北４条西６‐１　毎日札幌会館６Ｆ,011-281-3700,168人,171件,
派13-304719,株式会社シグマスタッフ,株式会社シグマスタッフ　旭川支店,北海道旭川市２条通９丁目２２８番地　旭川道銀ビル６階,0166-23-3820,266人,35件,
派13-304764,東急ビジネスサポート株式会社,東急ビジネスサポート株式会社　札幌事業所,北海道札幌市中央区北４条西２丁目１　東急百貨店札幌店内１階,011-211-2686,,,
派13-304829,株式会社ＳＨＩＦＴ,株式会社ＳＨＩＦＴ　札幌テストセンター,北海道札幌市中央区北１条西３‐３　札幌プラザビル５階６階,011-206-1187,,,
派13-304840,株式会社ソフトライフ,株式会社ソフトライフ　札幌支店,北海道札幌市中央区北四条西３丁目１番地　札幌駅前合同ビル４階,011-252-7829,,,
派13-304865,株式会社ジャパン・リリーフ,株式会社ジャパン・リリーフ　札幌支店  ,北海道札幌市中央区北２条西２丁目１番５号　リージェントビル７階,011-376-5261,,,ドライバー派遣、軽作業派遣、事務派遣
派13-304931,株式会社アイエスエフネット,株式会社アイエスエフネット　札幌支店,北海道札幌市中央区北一条西三丁目３番地　ばらと北一条ビル５階Ｄ号室,011-218-3610,,,
派13-304999,株式会社エントリー   ,株式会社エントリー　札幌支店,北海道札幌市中央区北一条西５丁目２番地　札幌興銀ビル６階,011-252-8833,,,
派13-305001,ＷＤＢ株式会社,ＷＤＢ株式会社　札幌支店,北海道札幌市中央区北４条西五丁目１番地４　大樹生命札幌共同ビル１０Ｆ,011-218-0811,,,
派13-305007,株式会社アズスタッフ,株式会社アズスタッフ　札幌営業所,北海道札幌市中央区北５条西５丁目２番地１２　住友生命札幌ビル７階,011-223-7580,,,
派13-305018,株式会社ブレイブ,株式会社ブレイブ　札幌オフィス,北海道札幌市中央区北一条西４丁目１番地２　Ｊ＆Ｓりそなビル８階,011-272-5555,,,
派13-305032,エクシオ・システムマネジメント株式会社,エクシオ・システムマネジメント株式会社　札幌支店,北海道札幌市中央区北５条西２丁目５番地　ＪＲタワーオフィスプラザさっぽろ１８階,050-3666-5811,,,
派13-305121,株式会社ラブキャリア,株式会社ラブキャリア　札幌オフィス,北海道札幌市中央区北四条西五丁目１番地４　大樹生命札幌共同ビル９階,011-252-1381,,,
派13-305238,株式会社ＡＰパートナーズ,株式会社ＡＰパートナーズ　北海道営業所,北海道札幌市中央区北三条西三丁目１番地　札幌北三条ビル６階,011-200-9125,,,
派13-305252,株式会社ＴＫテクノサービス,株式会社ＴＫテクノサービス　北海道営業所,北海道札幌市中央区南１条東１丁目３番地　パークイースト札幌４階,011-218-6060,,,
派13-305267,株式会社アウトソーシング,株式会社アウトソーシング　千歳営業所,北海道千歳市千代田町２丁目１５番地　ＭＡＲＵ　Ａ　ＢＬＤＧ．１階,0123-22-8711,,,
派13-305267,株式会社アウトソーシング,株式会社アウトソーシング　旭川サテライト,北海道旭川市一条通８丁目５４２番地の４　一条緑橋通ビル６階,0166-26-1131,,,
派13-305267,株式会社アウトソーシング,株式会社アウトソーシング　札幌営業所,北海道札幌市北区北７条西４丁目４番地３　札幌クレストビル６Ｆ,011-700-5016,,,
派13-305267,株式会社アウトソーシング,株式会社アウトソーシング　北見サテライト,北海道北見市とん田東町３９７番地　グローリビル５-Ａ,0157-57-3215,,,
派13-305267,株式会社アウトソーシング,株式会社アウトソーシング　帯広サテライト,北海道帯広市大通南９‐４　帯広大通ビル８階８０６号室,0155-67-0833,,,
派13-305285,株式会社エフプレイン,株式会社エフプレイン　札幌支店,北海道札幌市中央区北一条西２丁目９番地　オーク札幌ビルディング４・７Ｆ,011-330-6413,,,
派13-305286,株式会社ワールドコーポレーション,株式会社ワールドコーポレーション　北海道支店 ,北海道札幌市北区北７条西２丁目２０番地　ＮＣＯ札幌駅北口　２階,011-792-0892,,,
派13-305359,株式会社キャリアプラス,株式会社キャリアプラス　札幌支店,北海道札幌市中央区北１条西３‐２　井門札幌ビル９階,011-222-1350,60人,77件,
派13-305416,株式会社朝日エンジニアリング,株式会社朝日エンジニアリング　札幌営業所,北海道札幌市中央区北５条西６丁目１番２３　第二北海道通信ビル７階７０３号室,011-206-8927,,,
派13-305456,株式会社ジョブス,株式会社ジョブス　札幌支店,北海道札幌市中央区北二条西三丁目１番地２１、１番地２２　札幌北２条ビル７階Ａ室,011-200-2176,,,
派13-305502,株式会社ベルシステム２４,株式会社ベルシステム２４　北海道支店,北海道札幌市北区北七条西一丁目１番地２　ＳＥ札幌ビル７階,011-806-0024,,,
派13-305502,株式会社ベルシステム２４,株式会社ベルシステム２４　旭川ソリューションセンター ,北海道旭川市一条通八丁目１０８番地　フィール旭川９階,0166-23-8024,,,
派13-305617,株式会社テクノプロ,株式会社テクノプロ　テクノプロ・エンジニアリング社札幌支店,北海道札幌市中央区北５条西２丁目５　ＪＲタワーオフィスプラザさっぽろ　１４階,011-804-6021,,,
派13-305617,株式会社テクノプロ,株式会社テクノプロ　テクノプロ・デザイン社札幌サテライト,北海道札幌市中央区北５条西２丁目５　ＪＲタワーオフィスプラザさっぽろ　１４階,011-219-0221,,,
派13-305617,株式会社テクノプロ,株式会社テクノプロ　テクノプロ・ＩＴ社札幌支店,北海道札幌市中央区北５条西２丁目５　ＪＲタワーオフィスプラザさっぽろ　１４階,011-806-2021,,,
派13-305735,都市環境整美株式会社,都市環境整美株式会社　札幌センター ,北海道札幌市中央区大通西３丁目４　明治安田生命札幌大通ビル　８階,011-281-9088,,,
派13-305782,株式会社ベジコープ,株式会社ベジコープ　北海道営業所,北海道千歳市錦町４丁目１８３８番地　山田木材ビル２Ｆ,0123-25-3378,,,
派13-305884,株式会社フェローズ,株式会社フェローズ　札幌支店,北海道札幌市中央区南２条東２丁目８番地１　大都ビル８階８０８,011-596-8854,,,
派13-305892,ＡＭＵＳＥ株式会社,ＡＭＵＳＥ株式会社　札幌支店,北海道札幌市中央区北４条西六丁目１番　毎日札幌会館２階,011-351-3335,,,
派13-306053,株式会社ファーマインド,株式会社ファーマインド　札幌事務所,北海道札幌市中央区大通西１０丁目４‐１６　ダンロップＳＫビル８階,011-222-7940,,,
派13-306133,株式会社イーフラッグ,株式会社イーフラッグ　札幌営業所,北海道札幌市中央区南１条西７丁目１２番地５　大通パークサイドビル９階Ｂ室,011-398-7091,,,
派13-306186,株式会社ジャパン・ビジネス・サービス,株式会社ジャパン・ビジネス・サービス　札幌支店,北海道札幌市中央区北三条西２丁目８番地　さっけんビル６階,011-261-1177,,,
派13-306443,日本ＳＥ株式会社,日本ＳＥ株式会社　北海道支店,北海道札幌市中央区北１条西３丁目２番　井門札幌ビル８階,011-213-1154,,,
派13-306607,株式会社ジェイテック,株式会社ジェイテック　札幌営業所,北海道札幌市白石区南郷通２丁目南９ー７,011-827-1415,,,
派13-306888,日本梱包運輸倉庫株式会社,日本梱包運輸倉庫株式会社　苫小牧営業所 ,北海道苫小牧市あけぼの町１－７－８　,0144-55-5601,,,
派13-307111,株式会社マイナビワークス,株式会社マイナビワークス　北海道支社,北海道札幌市中央区北二条西三丁目１番地２０号　札幌フコク生命越山ビル９Ｆ,011-222-7703,334人,84件,
派13-307173,株式会社アイマックス,株式会社アイマックス　札幌営業所,北海道札幌市北区北１０条西３丁目１３番地　ＮＫエルムビル１階,011-768-8831,,,
派13-307198,株式会社ジーエムピー,株式会社ジーエムピー　札幌営業所,北海道札幌市北区北７条西１丁目２番地６　ＮＣＯ札幌１２階,011-737-7111,,,
派13-307324,株式会社ディックソリューションエンジニアリング,株式会社ディックソリューションエンジニアリング　北海道支店,北海道札幌市中央区北２条東１丁目２番１０　北２条ビル五階参四五六号,011-219-3456,,,
派13-307383,テクノブレイブ株式会社,テクノブレイブ株式会社　札幌オフィス,北海道札幌市北区北１０条西４丁目１番地１９　楠本第１０ビル４階,011-790-8672,,,
派13-307398,コンピューターサイエンス株式会社,コンピューターサイエンス株式会社　札幌オフィス,北海道札幌市中央区大通西七丁目２‐２　アセットプランニング大通ビル８階北東,011-205-3150,,,
派13-307481,株式会社川口屋,株式会社川口屋　釧路支店,北海道釧路市大川町８‐４５　１階,0154-42-3601,,,
派13-307778,日本デジタルデザイン株式会社,日本デジタルデザイン株式会社　北海道支社,北海道札幌市中央区南１条西８丁目１０‐３　第２８桂和ビル２０２号室,011-271-1610,,,
派13-307858,株式会社キューボ,株式会社キューボ　ＣＵ札幌支店,北海道札幌市中央区北５条西２－５　ＪＲタワーオフィスプラザさっぽろ１４Ｆ,050-1746-3408,,,
派13-308174,株式会社ウィナス,株式会社ウィナス　札幌支社,北海道札幌市中央区大通西９丁目３番地３３　キタコーセンタービルディング７階７０３号室,011-209-1166,,,
派13-308204,株式会社日本システムコンサルタント,株式会社日本システムコンサルタント　北海道支社,北海道札幌市中央区北１条西２丁目９番地　オーク札幌ビル５階・６階 ,011-271-3866,,,
派13-308338,中央システム株式会社,中央システム株式会社　札幌支社,北海道札幌市中央区北１条西９丁目３‐１　南大通ビルＮ１　５階,011-222-8018,,,
派13-308402,株式会社システムマネージメント,株式会社システムマネージメント　札幌システム部,北海道札幌市白石区菊水１条３丁目１番５号　メディア・ミックス札幌４階４‐３ ,011-816-9702,,,
派13-308453,株式会社アイキューブ・マーケティング,株式会社アイキューブ・マーケティング　札幌支店,北海道札幌市中央区北一条西７丁目３番　北一条第一生命ビルディング３階,011-211-5270,,,
派13-308462,丸善雄松堂株式会社　,丸善雄松堂株式会社　札幌支店,北海道札幌市清田区北野六条一丁目４番６０号‐１階,011-884-8222,,,
派13-308469,株式会社ＭＡＹＡ　ＳＴＡＦＦＩＮＧ,株式会社ＭＡＹＡ　ＳＴＡＦＦＩＮＧ　北海道支店,北海道札幌市中央区大通西三丁目６　北海道新聞社ビル北１条館２階,011-215-0761,,,
派13-308581,ＳＢモバイルサービス株式会社,ＳＢモバイルサービス株式会社　札幌カスタマーコミュニケーションセンター,北海道札幌市北区北七条西２丁目８番地１　札幌北ビル３Ｆ,080-3715-4769,,,
派13-308598,株式会社Ｑ＆Ｑビジネスパートナーズ,株式会社Ｑ＆Ｑビジネスパートナーズ　札幌支店,北海道札幌市白石区東札幌４条２丁目３番２０号　安全倉庫１０号１階,011-811-1135,,,
派13-308601,Ｂ・ＴＥＣ株式会社,Ｂ・ＴＥＣ株式会社　札幌営業所,北海道札幌市中央区北２条西２丁目２６番地　道特会館５階,011-221-3888,,,
派13-308632,株式会社コア,株式会社コア　北海道カンパニー,北海道札幌市中央区北１条西４丁目２番地１２　北１条アネックスビル５Ｆ・６Ｆ,011-272-4111,,,
派13-308824,日本ビジネスシステムズ株式会社,日本ビジネスシステムズ株式会社　北海道事業所　,北海道札幌市中央区北一条西１丁目６番地　さっぽろ創世スクエア２１階,011-221-4300,,,
派13-308944,株式会社アクティス,株式会社アクティス　札幌事業所,北海道札幌市中央区北二条西３‐１‐１２　敷島ビル９Ｆ,011-208-5252,,,
派13-308965,サイネオス・ヘルス・コマーシャル株式会社 ,サイネオス・ヘルス・コマーシャル株式会社　札幌オフィス ,北海道札幌市中央区南３条西８‐２‐１　ＳＡＫＵＲＡ‐Ｓ３　２階Ｈ室,011-206-6990,,,
派13-309008,株式会社ダイヤコンサルタント,株式会社ダイヤコンサルタント　北海道支社,北海道札幌市北区北十条西２丁目１３番地２,011-729-2701,,,
派13-309121,株式会社ほけんのぜんぶ,株式会社ほけんのぜんぶ　札幌支店,北海道札幌市中央区大通西４丁目１番地　道銀ビルディング９階,0120-957-206,,,
派13-309165,株式会社ＦＩＴ’ｓ,株式会社ＦＩＴ’ｓ　札幌営業所,北海道札幌市中央区北２条西２丁目２９番１号　札幌ウイングビル６階６０Ｂ号,011-261-3876,,,
派13-309166,株式会社ＳＨＩＮＫＯ,株式会社ＳＨＩＮＫＯ　北海道支店,北海道札幌市中央区北３条東８丁目８番地４　砂子ビル４階,011-210-9871,,,
派13-309293,日本ナレッジ株式会社,日本ナレッジ株式会社　札幌検証センター,北海道札幌市中央区北一条西３丁目３番地　敷島プラザビル７階,011-207-5090,,,
派13-309395,日本テクニカル・サービス株式会社,日本テクニカル・サービス株式会社　札幌営業所,北海道札幌市東区伏古３条４‐１‐１０　石崎倉庫Ｂ棟１階,011-786-0535,,,
派13-309438,株式会社エアロテクノサービス,株式会社エアロテクノサービス　千歳事業所,北海道千歳市千代田町６丁目７番地　駿河千代田ビル７階、８階,0123-22-0001,,,
派13-309481,冨洋設計株式会社,冨洋設計株式会社　北海道支社,北海道札幌市中央区北一条西１０丁目１-１７　北一条山地ビルディング４階,011-241-0066,1人,,
派13-309486,日本テクニカルシステム株式会社,日本テクニカルシステム株式会社　北海道営業所,北海道札幌市中央区北２条西２丁目２９番地１　札幌ウイングビル８階８０Ｃ号室,011-261-2268,,,
派13-309517,北斗ビジネスソフト株式会社,北斗ビジネスソフト株式会社 北海道支社,北海道札幌市中央区南１０条西１０丁目１番２０号　さくらビル６階,011-531-3599,,,
派13-309999,三幸株式会社,三幸株式会社　北海道支店,北海道札幌市中央区北五条西２丁目５　ＪＲタワーオフィスプラザさっぽろ１６階,011-261-8753,,,
派13-310672,株式会社ジャストファイン,株式会社ジャストファイン　札幌オフィス,北海道札幌市中央区北５条西５丁目２‐１２　住友生命札幌ビル４Ｆ,011-252-8801,,,
派13-310691,一般社団法人全日検,一般社団法人全日検　北海道事業所,北海道苫小牧市元中野町２‐２‐１７,0144-33-7335,0人,0件,
派13-310711,昌運工業株式会社,昌運工業株式会社　北海道支社,北海道札幌市中央区北５条西５丁目２番地１２　住友生命札幌ビル５階,011-231-6025,,,
派13-310926,日本コンセントリクス株式会社,日本コンセントリクス株式会社　札幌中央事業所,北海道札幌市中央区北三条西４丁目１番地１　日本生命札幌ビル１階、６階、１１階、１５階,011-200-1211,,,
派13-310956,扶桑電通株式会社,扶桑電通株式会社　北海道支店,北海道札幌市中央区北１条東１丁目６番５号　札幌イーストスクエア４階,011-281-6311,0人,0件,
派13-310987,レバレジーズメディカルケア株式会社,レバレジーズメディカルケア株式会社　札幌支店,北海道札幌市中央区北１条西３丁目２番地　井門札幌ビル４階,050-3184-0524,,,
派13-311008,株式会社クリマテック,株式会社クリマテック　北海道支店,北海道札幌市中央区北２条西１丁目１番地　マルイト札幌ビル８Ｆ　８１６～８１８号室,011-252-0240,,,
派13-311229,株式会社都築ソフトウエア,株式会社都築ソフトウェア　札幌オフィス,北海道札幌市中央区南１条東３丁目１２‐４　創成イーストビル３階,011-223-2551,,,
派13-311344,東亜工業株式会社,東亜工業株式会社　苫小牧営業所,北海道苫小牧市あけぼの町一丁目６番１９号,0144-57-6127,2人,,
派13-311486,株式会社エージーピー,株式会社エージーピー　千歳空港支店,北海道千歳市美々（新千歳空港国内線旅客ターミナルビル１階）,0123-46-5858,,,
派13-311536,株式会社ジャパンテクニカルソフトウェア,株式会社ジャパンテクニカルソフトウェア　北海道本社,北海道札幌市北区北２１条西３丁目１‐１４,011-737-9131,,,
派13-312033,株式会社長大,株式会社長大　札幌支社,北海道札幌市中央区北１条東２‐５‐３　塚本ビル北１館８Ｆ,011-271-2357,,,
派13-312053,ブリヂストン物流株式会社,ブリヂストン物流株式会社　苫小牧倉庫 ,北海道苫小牧市新明町１－２－２,0144-55-4287,0人,0件,
派13-312293,日鉄テックスエンジ株式会社,日鉄テックスエンジ株式会社　室蘭支店,北海道室蘭市仲町１２番地　２Ｆ,0143-44-1020,,,
派13-312372,ＦＵＮｔｏＦＵＮ株式会社,ＦＵＮｔｏＦＵＮ株式会社　帯広営業所,北海道帯広市西２０条南３丁目２８‐２　ＭＩＬＬＣＲＯＷＮ１階,0155-38-3135,,,
派13-312683,一般社団法人日本貨物検数協会,一般社団法人日本貨物検数協会　北海道支部,北海道苫小牧市元中野町二丁目二番１３号　１階・２階,0144-33-7381,,,
派13-312769,大成有楽不動産株式会社   ,大成有楽不動産株式会社　札幌支店,北海道札幌市中央区南一条西１‐４　大成札幌ビル５階,011-231-7231,,,
派13-312866,ツヅキインフォテクノ東日本株式会社,ツヅキインフォテクノ東日本株式会社　北海道支店,北海道札幌市中央区大通西１８丁目２番地７　アジエステート大通西プラザ１階,011-640-4000,,,
派13-312990,株式会社アサヒファシリティズ,株式会社アサヒファシリティズ　北海道支店,北海道札幌市中央区大通西４丁目１番地　道銀ビルディング９階９０１号室,011-231-3332,,,
派13-313017,株式会社アトックス,株式会社アトックス　泊事業所,北海道古宇郡泊村大字堀株村字ヘロカルウス７８９番地,0135-75-3316,,,
派13-313191,増島エアーサービス株式会社,増島エアーサービス株式会社　札幌出張所,北海道札幌市中央区南２条西８丁目３番１号　大光ビル３ＦＢ号室,011-221-2493,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　北海道支社,北海道札幌市西区二十四軒一条二丁目４番３８号,011-614-9911,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　泊営業所,北海道古宇郡泊村大字堀株村字ヘロカルウス７８９番地　泊発電所新保修事務所５階,0135-75-3159,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　旭川営業所,北海道旭川市旭町２条２丁目９番１３１　長谷川貸事務所,0166-55-3421,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　苫小牧支店,北海道苫小牧市新明町４丁目１２－８,0144-55-8511,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　釧路営業所,北海道釧路市喜多町４番１２号　喜多町貸店舗,0154-23-6496,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　室蘭営業所,北海道室蘭市日の出町２丁目２４番８号　日の出町事務所,0143-45-7711,,,
派13-313379,美和電気工業株式会社,美和電気工業株式会社　函館営業所,北海道函館市宮前町２９番３号　函館不動産会館ビル２階,0138-40-8931,,,
派13-313966,株式会社ブレーンナレッジシステムズ,株式会社ブレーンナレッジシステムズ　北海道支部,北海道札幌市中央区北二条西三丁目１番地　敷島ビル７階,011-232-5770,,,
派13-314025,株式会社日本サポートサービス,株式会社日本サポートサービス　北海道営業所,北海道札幌市中央区北２条東１丁目２番地１０　北２条ビル７階,080-9211-3918,,,
派13-314179,ＵＴコネクト株式会社,ＵＴコネクト株式会社　千歳オフィス,北海道千歳市千代田町４丁目１４番　千歳第一ビル２階２４２号室,0123-21-9474,,,
派13-314237,株式会社アライブネット,株式会社アライブネット　札幌支店,北海道札幌市中央区北四条西６丁目１番　毎日札幌会館５階,011-558-7250,,,
派13-314318,株式会社旅行綜研東日本,株式会社旅行綜研東日本　札幌営業所,北海道札幌市中央区北一条西四丁目２‐２　札幌ノースプラザ７Ｆ,011-271-1831,,,
派13-314355,株式会社夢真,株式会社夢真　札幌営業所,北海道札幌市中央区北１条西２丁目９番地　オーク札幌ビルディング６階,011-221-8508,,,
派13-314693,株式会社ローソン,株式会社ローソン　北海道カンパニー,北海道札幌市北区北七条西２丁目８番地１　札幌北ビル５階,011-700-6090,25人,59件,
派13-314859,株式会社ライフスピン,株式会社ライフスピン　札幌支店,北海道札幌市中央区南一条西５丁目７番地１　豊川南一条ビル９階９０１,011-213-1523,,,
派13-314974,株式会社士,株式会社士,北海道札幌市中央区南一条東４丁目７番地　第２渡辺ビル３Ｆ,011-219-6520,,,
派13-315001,アポプラスキャリア株式会社,アポプラスキャリア株式会社　札幌営業所,北海道札幌市中央区北四条西五丁目１番４８号　アスティ４５　８階,011-211-6878,,,
派13-315171,株式会社ＡＧＥＳＴ,株式会社ＡＧＥＳＴ　札幌ベース,北海道札幌市北区北八条西３－２８　札幌エルプラザ１３階,050-3181-6623,,,
派13-315590,クルーガーグループ株式会社,クルーガーグループ株式会社　北海道支店,北海道札幌市中央区北１条西８丁目２番地３９　ＩＳＭ札幌大通６階,011-221-6100,,,
派13-315642,マンパワーグループ株式会社,マンパワーグループ株式会社　札幌オフィス,北海道札幌市中央区北三条西四丁目１番地１　日本生命札幌ビル１５Ｆ ,011-222-4881,510人,266件,
派13-315832,ＧＭＯサイバーセキュリティｂｙイエラエ株式会社,ＧＭＯサイバーセキュリティｂｙイエラエ株式会社　札幌オフィス,北海道札幌市中央区北２条西２丁目３４番地　フージャース札幌ビル３階,011-206-9786,,,
派13-316144,ジャパンシステム株式会社,ジャパンシステム株式会社　北海道営業所,北海道札幌市中央区南一条東１丁目２－１　太平洋興発ビル４階,011-206-2931,,,
派13-316319,株式会社ダイバーシティイースト,株式会社ダイバーシティイースト　札幌オフィス,北海道札幌市中央区北２条西３丁目１　太陽生命札幌ビル５Ｆ,011-590-5201,,,
派13-316429,日本ミニコンピュータシステム株式会社,日本ミニコンピュータシステム株式会社　札幌システム技術センター,北海道札幌市中央区南４条西１丁目１番地２　第８７松井ビル７０３号室,011-215-1761,,,
派14-010117,株式会社ファルコン,株式会社ファルコン　北海道事業部,北海道札幌市中央区南１条東２丁目８番２　ＳＲビル４階,011-206-2600,9人,2件,システムエンジニア
派14-010240,株式会社ＷＯＷＯＷコミュニケーションズ,株式会社ＷＯＷＯＷコミュニケーションズ　札幌ブランチ,北海道札幌市中央区北三条西４丁目１番１　日本生命札幌ビル１７階,011-261-8220,,,
派14-020028,エヌエス・テック株式会社,エヌエス・テック株式会社　千歳事業所,北海道千歳市千代田町６丁目２０番地　第１２ふじやビル１階Ｄ室,0123-40-8058,24人,8件,製造職、技能職
派14-090001,株式会社アルプス技研,株式会社アルプス技研　札幌営業所,北海道札幌市中央区北五条西６-２-２　札幌センタービル１６階,011-219-0111,,,
派14-090001,株式会社アルプス技研,株式会社アルプス技研　とかち分室,北海道帯広市西２条南１１丁目１２番地１　天光堂ビル２階,0155-27-1133,,,
派14-090015,株式会社ミヨシ・ロジスティックス,株式会社ミヨシ・ロジスティックス　北海道事業所 ,北海道千歳市千代田町５丁目１番地３号　アセットプランニング千歳ビル１Ｆ,0123-42-4723,,,
